"ADMINID","ENRORGID","PERMNUMBER","GRADE","GRADEBEGIN","GRADEEND","SY"
"SU021","PS187","1193415","10","09/08/2020","","2021"
"SU021","PS187","1193483","11","09/08/2020","02/09/2021","2021"
"SU021","PS187","1193514","09","09/08/2020","","2021"
"SU021","PS187","1193566","11","09/08/2020","","2021"
"SU021","PS187","1193720","09","09/08/2020","","2021"
"SU021","PS187","1193744","08","09/08/2020","","2021"
"SU021","PS187","1193779","11","09/08/2020","","2021"
"SU021","PS187","1193874","09","09/08/2020","","2021"
"SU021","PS187","1193878","11","09/08/2020","","2021"
"SU021","PS187","1193974","08","09/08/2020","","2021"
"SU021","PS187","1194015","11","09/08/2020","","2021"
"SU021","PS187","1194078","11","09/08/2020","","2021"
"SU021","PS187","1194100","11","09/08/2020","01/28/2021","2021"
"SU021","PS187","1194181","09","09/08/2020","","2021"
"SU021","PS187","1194198","08","09/08/2020","","2021"
"SU021","PS187","1194213","09","09/08/2020","","2021"
"SU021","PS187","1194217","10","09/08/2020","","2021"
"SU021","PS187","1194258","09","09/08/2020","","2021"
"SU021","PS187","1194316","08","09/08/2020","11/11/2020","2021"
"SU021","PS187","1194394","10","09/08/2020","","2021"
"SU021","PS187","1194410","10","09/08/2020","","2021"
"SU021","PS187","1194420","09","09/08/2020","","2021"
"SU021","PS187","1194471","10","09/08/2020","","2021"
"SU021","PS187","1194603","10","09/08/2020","","2021"
"SU021","PS187","1194614","08","09/08/2020","","2021"
"SU021","PS187","1194629","11","09/08/2020","","2021"
"SU021","PS187","1194708","08","09/08/2020","","2021"
"SU021","PS187","1194805","08","09/08/2020","","2021"
"SU021","PS187","1194825","08","09/08/2020","","2021"
"SU021","PS187","1194850","10","09/08/2020","","2021"
"SU021","PS187","1194907","09","09/08/2020","09/09/2020","2021"
"SU021","PS187","1194932","09","09/08/2020","","2021"
"SU021","PS187","1194962","09","09/08/2020","","2021"
"SU021","PS187","1194966","11","09/08/2020","","2021"
"SU021","PS187","1194995","11","09/08/2020","","2021"
"SU021","PS187","1195002","12","09/08/2020","","2021"
"SU021","PS187","1195172","10","09/08/2020","","2021"
"SU021","PS187","1195177","11","09/08/2020","","2021"
"SU021","PS187","1195794","10","09/08/2020","","2021"
"SU021","PS187","1195819","11","09/08/2020","","2021"
"SU021","PS187","1195820","11","09/08/2020","","2021"
"SU021","PS187","1195823","12","09/08/2020","","2021"
"SU021","PS187","1195824","10","09/08/2020","","2021"
"SU021","PS187","1196328","12","09/08/2020","","2021"
"SU021","PS187","1196329","11","09/08/2020","","2021"
"SU021","PS187","1196349","12","09/08/2020","","2021"
"SU021","PS187","1196350","11","09/08/2020","","2021"
"SU021","PS187","1196358","12","09/08/2020","09/09/2020","2021"
"SU021","PS187","1196359","12","09/08/2020","","2021"
"SU021","PS187","1196365","11","09/08/2020","","2021"
"SU021","PS187","1196427","12","09/08/2020","","2021"
"SU021","PS187","1196445","12","08/28/2019","11/03/2020","2021"
"SU021","PS187","1197240","10","09/08/2020","","2021"
