1457246,01,,N,,D
1190537,01,,N,,D
1457245,01,,N,,D
1225454,96,,N,,A
1445395,96,,N,,A
1256230,96,,N,,A
1243392,96,,N,,A
1398285,96,,N,,A
1275178,96,,N,,A
1196427,96,,N,,A
1290585,01,,N,,D
1248199,01,,Y,,D
1457248,96,,N,,A
1457249,96,,N,,A
1457250,96,,N,,A
1457247,96,,N,,A
1283005,01,,N,,A
1440508,96,,N,,D
1318146,96,,N,,D
1307190,01,,Y,,A
1240851,96,,N,,
1319295,96,,N,N,
1243098,02,,N,,D
1304565,01,,N,,A
1275187,02,,N,,D
1463624,96,,,,E
1239862,96,,N,,A
1252716,96,,N,,D
1457444,96,,N,,D
1242804,01,,N,,A
1452917,96,,N,,D
1434734,96,,N,,D
1443909,96,,N,,D
1254855,96,,N,,D
1243767,96,,N,,D
1453858,96,,N,,D
1249876,02,,N,,A
1250006,02,,N,,A
1252780,96,,N,,A
1398286,96,,N,,D
1310694,96,,N,,A
1440982,96,,N,,A
1408159,01,,N,,A
1440516,96,,N,,A
1443760,96,,Y,,A
1453290,96,,N,,A
1254813,96,,N,,A
1249653,01,,N,,E
1316547,01,,N,,E
1298178,96,,N,,E
1280618,96,,N,,E
1310477,96,,N,,A
1453390,96,,,,D
1276989,96,,N,,D
1246979,96,,N,,E
1194995,01,,N,,D
1192427,01,,Y,,A
1194850,01,,Y,,A
1296874,96,,N,,D
1271460,96,,N,,D
1443761,96,,N,,D
1232977,01,,Y,,D
1457251,96,,N,,F
1275202,01,,N,,D
1284119,01,,N,,D
1240912,01,,N,,A
1452918,01,,N,,B
1296360,01,,Y,,A
1191178,96,,Y,,
1465750,,,,,B
1415572,,,N,,C
1415606,01,,N,,A
1283485,01,,N,,A
1239863,01,,Y,,A
1463625,96,,,,E
1417649,96,,,,E
1443910,96,,N,,A
1275205,96,,N,,A
1299926,96,,Y,,A
1256667,96,,N,,A
1316821,01,,N,,A
1294444,96,,N,,A
1191053,01,Y,N,,D
1225088,96,,N,,D
1292641,96,,Y,,A
1452919,96,,,,A
1300538,96,,N,,A
1431218,96,,N,,A
1249872,01,,Y,Y,D
1304183,01,,N,Y,D
1287891,96,,N,,A
1260678,02,,N,,D
1202433,02,,N,,A
1243289,96,,N,,D
1248440,96,,N,,E
1249815,96,,N,,D
1273887,96,,N,,E
1300118,96,,Y,,A
1192093,96,,Y,,D
1408506,96,,Y,,A
1269751,01,,Y,,D
1308334,01,,N,,D
1413761,,,Y,,E
1295195,01,,N,,D
1280765,96,,Y,,A
1408962,01,,N,,D
1408995,01,,N,,D
1192758,96,,Y,,D
1192911,96,,Y,,D
1398620,96,,N,,A
1300543,96,,N,,A
1275209,96,,N,,A
1243021,96,,N,,A
1398288,96,,N,,
1197358,96,,N,,A
1194966,01,,N,,D
1450255,01,,N,,D
1468673,,,,,F
1242928,02,,N,,A
1271465,96,,N,,D
1256538,02,,N,,A
1457146,96,,N,,D
1264615,96,,N,,D
1442532,96,,N,,A
1288668,02,,N,,A
1398290,02,,N,,A
1239845,96,,N,,A
1280890,96,,N,,E
1434455,96,,Y,,E
1413121,96,,Y,,E
1413142,96,,Y,,E
1256135,96,,N,,D
1296876,96,,N,,A
1440526,96,,N,,A
1187893,96,,Y,,
1283220,96,,N,,D
1198114,96,,N,,D
1282679,02,,N,,E
1254734,02,,Y,,E
1245969,96,,N,,D
1232162,02,,Y,,E
1196328,96,,N,,D
1452920,96,,,,D
1302348,96,,N,,D
1440528,96,,N,,A
1243177,96,,Y,,D
1453291,96,,N,,A
1443762,96,,N,,D
1398292,96,,N,,A
1214701,01,,Y,,D
1457252,,,Y,,C
1248274,01,,N,,A
1294067,01,,N,,A
1408503,96,,Y,,D
1250148,01,,N,,D
1403919,01,,Y,,A
1450256,01,,N,,D
1185276,01,,Y,,A
1306669,01,,N,,A
1253870,01,,Y,,A
1192187,01,,N,,D
1291643,01,,N,,A
1294402,96,,N,,D
1318688,01,,Y,,D
1398625,02,,N,,D
1273916,02,,N,,D
1307378,96,,N,,D
1248082,96,,N,,A
1186378,02,,Y,,A
1443764,96,,N,,A
1197466,96,,Y,,A
1457253,96,,Y,,D
1443848,96,,N,,A
1432396,96,,N,,D
1279639,96,,N,,D
1457147,01,,Y,,A
1431219,96,,N,,A
1452922,96,,N,,A
1431220,96,,N,,A
1193483,01,,Y,,
1224964,96,,N,,D
1438323,96,,N,,A
1444481,96,,N,,A
1411780,,,,,C
1417556,01,,N,,A
1441003,96,,N,,D
1254629,01,,N,,A
1232445,01,,N,,A
1431209,96,,N,,D
1457254,96,,N,,
1255905,96,,N,,D
1196329,96,,N,,D
1441004,96,,N,,D
1288281,01,,N,,D
1280114,96,,N,,E
1185971,96,,Y,,A
1239865,96,,N,,D
1431221,96,,N,,D
1407750,,,N,,D
1300563,96,,N,,D
1441006,96,,N,,D
1217477,96,,N,,D
1233870,01,N,N,,A
1317782,01,,N,,A
1265017,01,,N,,A
1189673,01,,Y,,D
1248527,96,,N,,D
1457255,96,,N,,A
1191687,02,,N,,A
